matching.btree_spp,link_sp_name,cz,BL_latin,c_name,sister_split
Zosterops poliogastrus,kikuyu-white-eye-zosterops-kikuyuensis,ok,Zosterops kikuyuensis,Kikuyu White-eye,
Zosterops poliogastrus,taita-white-eye-zosterops-silvanus,ok,Zosterops silvanus,Taita White-eye,
Zosterops poliogastrus,kilimanjaro-white-eye-zosterops-eurycricotus,ok,Zosterops eurycricotus,Kilimanjaro White-eye,
Zosterops poliogastrus,mbulu-white-eye-zosterops-mbuluensis,ok,Zosterops mbuluensis,Mbulu White-eye,
Suiriri suiriri,suiriri-flycatcher-suiriri-suiriri,ok,Suiriri suiriri,Suiriri Flycatcher,
Ptilinopus solomonensis,yellow-banded-fruit-dove-ptilinopus-solomonensis,ok,Ptilinopus solomonensis,Yellow-banded Fruit-dove,
Ptilinopus solomonensis,geelvink-fruit-dove-ptilinopus-speciosus,ok,Ptilinopus speciosus,Geelvink Fruit-dove,
Ptilinopus purpuratus,grey-green-fruit-dove-ptilinopus-purpuratus,ok,Ptilinopus purpuratus,Grey-green Fruit-dove,
Ptilinopus purpuratus,raiatea-fruit-dove-ptilinopus-chrysogaster,ok,Ptilinopus chrysogaster,Raiatea Fruit-dove,
Poospiza whitii,black-and-chestnut-warbling-finch-poospiza-whitii,ok,Poospiza whitii,Black-and-chestnut Warbling-finch,
Poospiza nigrorufa,black-and-rufous-warbling-finch-poospiza-nigrorufa,ok,Poospiza nigrorufa,Black-and-rufous Warbling-finch,
Phaethornis griseogularis,grey-chinned-hermit-phaethornis-griseogularis,ok,Phaethornis griseogularis,Grey-chinned Hermit,
Phaethornis griseogularis,porculla-hermit-phaethornis-porcullae,ok,Phaethornis porcullae,Porculla Hermit,
Bubo virginianus,great-horned-owl-bubo-virginianus,ok,Bubo virginianus,Great Horned Owl,
Bubo magellanicus,magellanic-horned-owl-bubo-magellanicus,ok,Bubo magellanicus,Magellanic Horned Owl,
Hylexetastes perrotii,red-billed-woodcreeper-hylexetastes-perrotii,ok,Hylexetastes perrotii,Red-billed Woodcreeper,"Hylexetastes uniformis, Hylexetastes brigidai"
Zenaida asiatica,white-winged-dove-zenaida-asiatica,ok,Zenaida asiatica,White-winged Dove,
Zenaida meloda,west-peruvian-dove-zenaida-meloda,ok,Zenaida meloda,West Peruvian Dove,
Larus thayeri,thayers-gull-larus-thayeri,ok,Larus thayeri,Thayer's Gull,
Larus glaucoides,iceland-gull-larus-glaucoides,ok,Larus glaucoides,Iceland Gull,
Alcedo argentata,southern-silvery-kingfisher-ceyx-argentatus,ok,Ceyx argentatus,Southern Silvery Kingfisher,
Alcedo argentata,northern-silvery-kingfisher-ceyx-flumenicola,ok,Ceyx flumenicola,Northern Silvery Kingfisher,
Alcedo cristata,malachite-kingfisher-corythornis-cristatus,ok,Corythornis cristatus,Malachite Kingfisher,
Alcedo cristata,principe-kingfisher-corythornis-nais,ok,Corythornis nais,Principe Kingfisher,
Alcedo cristata,sao-tome-kingfisher-corythornis-thomensis,ok,Corythornis thomensis,Sao Tome Kingfisher,
Alcedo cyanopectus,northern-indigo-banded-kingfisher-ceyx-cyanopectus,ok,Ceyx cyanopectus,Northern Indigo-banded Kingfisher,
Alcedo cyanopectus,southern-indigo-banded-kingfisher-ceyx-nigrirostris,ok,Ceyx nigrirostris,Southern Indigo-banded Kingfisher,
Amphispiza belli,bells-sparrow-artemisiospiza-belli,ok,Artemisiospiza belli,Bell's Sparrow,
Amphispiza belli,sagebrush-sparrow-artemisiospiza-nevadensis,ok,Artemisiospiza nevadensis,Sagebrush Sparrow,
Anthreptes fraseri,frasers-sunbird-deleornis-fraseri,ok,Deleornis fraseri,Fraser’s Sunbird,
Anthreptes fraseri,grey-headed-sunbird-deleornis-axillaris,ok,Deleornis axillaris,Grey-headed Sunbird,
Aquila pomarina,lesser-spotted-eagle-clanga-pomarina,ok,Clanga pomarina,Lesser Spotted Eagle,
Aratinga nana,jamaican-parakeet-eupsittula-nana,ok,Eupsittula nana,Jamaican Parakeet,
Aratinga nana,aztec-parakeet-eupsittula-astec,ok,Eupsittula astec,Aztec Parakeet,
Aratinga holochlora,green-parakeet-psittacara-holochlorus,ok,Psittacara holochlorus,Green Parakeet,Aratinga brevipes
Aratinga wagleri,scarlet-fronted-parakeet-psittacara-wagleri,ok,Psittacara wagleri,Scarlet-fronted Parakeet,
Aratinga wagleri,cordilleran-parakeet-psittacara-frontatus,ok,Psittacara frontatus,Cordilleran Parakeet,
Buteo nitidus,grey-lined-hawk-buteo-nitidus,ok,Buteo nitidus,Grey-lined Hawk,
Buteo nitidus,grey-hawk-buteo-plagiatus,ok,Buteo plagiatus,Grey Hawk,
Buteo polyosoma,variable-hawk-geranoaetus-polyosoma,ok,Geranoaetus polyosoma,Variable Hawk,
Casmerodius albus,great-white-egret-ardea-alba,ok,Ardea alba,Great White Egret,
Chlorothraupis carmioli,carmiols-tanager-habia-carmioli,ok,Habia carmioli,Carmiol's Tanager,
Chlorothraupis frenata,yellow-lored-tanager-habia-frenata,ok,Habia frenata,Yellow-lored Tanager,
Chrysococcyx minutillus,little-bronze-cuckoo-chalcites-minutillus,ok,Chalcites minutillus,Little Bronze-cuckoo,Chrysococcyx russatus
Coccyzus merlini,cuban-lizard-cuckoo-coccyzus-merlini,ok,Coccyzus merlini,Cuban Lizard-cuckoo,
Coccyzus merlini,bahama-lizard-cuckoo-coccyzus-bahamensis,ok,Coccyzus bahamensis,Bahama Lizard-cuckoo,
Colaptes rubiginosus,golden-olive-woodpecker-colaptes-rubiginosus,ok,Colaptes rubiginosus,Golden-olive Woodpecker,
Colaptes rubiginosus,bronze-winged-woodpecker-colaptes-aeruginosus,ok,Colaptes aeruginosus,Bronze-winged Woodpecker,
Cyanocompsa cyanoides,blue-black-grosbeak-cyanoloxia-cyanoides,ok,Cyanoloxia cyanoides,Blue-black Grosbeak,
Cyanocompsa cyanoides,amazonian-grosbeak-cyanoloxia-rothschildii,ok,Cyanoloxia rothschildii,Amazonian Grosbeak,
Dendragapus canadensis,spruce-grouse-falcipennis-canadensis,ok,Falcipennis canadensis,Spruce Grouse,
Dendragapus canadensis,franklins-grouse-falcipennis-franklinii,ok,Falcipennis franklinii,Franklin's Grouse,
Estrilda quartinia,yellow-bellied-waxbill-coccopygia-quartinia,ok,Coccopygia quartinia,Yellow-bellied Waxbill,
Geotrygon lawrencii,purplish-backed-quail-dove-zentrygon-lawrencii,ok,Zentrygon lawrencii,Purplish-backed Quail-dove,
Hemispingus atropileus,black-capped-hemispingus-kleinothraupis-atropileus,ok,Kleinothraupis atropileus,Black-capped Hemispingus,
Hemispingus auricularis,white-browed-hemispingus-kleinothraupis-auricularis,ok,Kleinothraupis auricularis,White-browed Hemispingus,
Hemispingus melanotis,black-eared-hemispingus-sphenopsis-melanotis,ok,Sphenopsis melanotis,Black-eared Hemispingus,
Hemispingus melanotis,western-hemispingus-sphenopsis-ochracea,ok,Sphenopsis ochracea,Western Hemispingus,
Hemispingus melanotis,piura-hemispingus-sphenopsis-piurae,ok,Sphenopsis piurae,Piura Hemispingus,
Luscinia pectoralis,himalayan-rubythroat-calliope-pectoralis,ok,Calliope pectoralis,Himalayan Rubythroat,
Luscinia pectoralis,chinese-rubythroat-calliope-tschebaiewi,ok,Calliope tschebaiewi,Chinese Rubythroat,
Melopyrrha nigra,cuban-bullfinch-pyrrhulagra-nigra,ok,Pyrrhulagra nigra,Cuban Bullfinch,
Melopyrrha nigra,grand-cayman-bullfinch-pyrrhulagra-taylori,ok,Pyrrhulagra taylori,Grand Cayman Bullfinch,
Mesopicos elliotii,elliots-woodpecker-dendropicos-elliotii,ok,Dendropicos elliotii,Elliot's Woodpecker,
Mesopicos elliotii,johnstons-woodpecker-dendropicos-johnstoni,ok,Dendropicos johnstoni,Johnston's Woodpecker,
Nectarinia afra,greater-double-collared-sunbird-cinnyris-afer,ok,Cinnyris afer,Greater Double-collared Sunbird,
Nectarinia afra,prigogines-double-collared-sunbird-cinnyris-prigoginei,ok,Cinnyris prigoginei,Prigogine's Double-collared Sunbird,
Nectarinia bifasciata,purple-banded-sunbird-cinnyris-bifasciatus,ok,Cinnyris bifasciatus,Purple-banded Sunbird,
Nectarinia habessinica,shining-sunbird-cinnyris-habessinicus,ok,Cinnyris habessinicus,Shining Sunbird,
Nectarinia habessinica,arabian-sunbird-cinnyris-hellmayri,ok,Cinnyris hellmayri,Arabian Sunbird,
Nectarinia jugularis,olive-backed-sunbird-cinnyris-jugularis,ok,Cinnyris jugularis,Olive-backed Sunbird,
Nectarinia jugularis,rands-sunbird-cinnyris-idenburgi,ok,Cinnyris idenburgi,Rand's Sunbird,
Nectarinia ludovicensis,montane-double-collared-sunbird-cinnyris-ludovicensis,ok,Cinnyris ludovicensis,Montane Double-collared Sunbird,
Nectarinia manoensis,eastern-miombo-sunbird-cinnyris-manoensis,ok,Cinnyris manoensis,Eastern Miombo Sunbird,
Nectarinia manoensis,western-miombo-sunbird-cinnyris-gertrudis,ok,Cinnyris gertrudis,Western Miombo Sunbird,
Nectarinia mediocris,usambara-double-collared-sunbird-cinnyris-usambaricus,ok,Cinnyris usambaricus,Usambara Double-collared Sunbird,
Nectarinia mediocris,eastern-double-collared-sunbird-cinnyris-mediocris,ok,Cinnyris mediocris,Eastern Double-collared Sunbird,
Nectarinia notata,long-billed-sunbird-cinnyris-notatus,ok,Cinnyris notatus,Long-billed Sunbird,
Nectarinia notata,grand-comoro-sunbird-cinnyris-moebii,ok,Cinnyris moebii,Grand Comoro Sunbird,
Nectarinia notata,moheli-sunbird-cinnyris-voeltzkowi,ok,Cinnyris voeltzkowi,Moheli Sunbird,
Nectarinia pulchella,beautiful-sunbird-cinnyris-pulchellus,ok,Cinnyris pulchellus,Beautiful Sunbird,
Nectarinia pulchella,gorgeous-sunbird-cinnyris-melanogastrus,ok,Cinnyris melanogastrus,Gorgeous Sunbird,
Nectarinia sperata,purple-throated-sunbird-leptocoma-sperata,ok,Leptocoma sperata,Purple-throated Sunbird,
Nectarinia sperata,maroon-bellied-sunbird-leptocoma-brasiliana,ok,Leptocoma brasiliana,Maroon-bellied Sunbird,
Nectarinia sperata,orange-lined-sunbird-leptocoma-juliae,ok,Leptocoma juliae,Orange-lined Sunbird,
Nectarinia stuhlmanni,ruwenzori-double-collared-sunbird-cinnyris-stuhlmanni,ok,Cinnyris stuhlmanni,Ruwenzori Double-collared,
Oceanodroma castro,band-rumped-storm-petrel-hydrobates-castro,ok,Hydrobates castro,Band-rumped Storm-petrel,Oceanodroma monteiroi
Otus leucotis,northern-white-faced-owl-ptilopsis-leucotis,ok,Ptilopsis leucotis,Northern White-faced Owl,
Phaeothlypis rivularis,southern-riverbank-warbler-myiothlypis-rivularis,ok,Myiothlypis rivularis,Southern Riverbank Warbler,
Phaeothlypis rivularis,northern-riverbank-warbler-myiothlypis-mesoleucus,ok,Myiothlypis mesoleucus,Northern Riverbank Warbler,
Poospiza torquata,ringed-warbling-finch-microspingus-torquatus,ok,Microspingus torquatus,Ringed Warbling-finch,
Poospiza torquata,black-breasted-warbling-finch-microspingus-pectoralis,ok,Microspingus pectoralis,Black-breasted Warbling-finch,
Ptilopsis granti,southern-white-faced-owl-ptilopsis-granti,ok,Ptilopsis granti,Southern White-faced Owl,
Serinus gularis,streaky-headed-seedeater-crithagra-gularis,ok,Crithagra gularis,Streaky-headed Seedeater,
Serinus gularis,west-african-seedeater-crithagra-canicapilla,ok,Crithagra canicapilla,West African Seedeater,
Serinus reichardi,reichards-seedeater-crithagra-reichardi,ok,Crithagra reichardi,Reichard's Seedeater,
Serinus reichardi,stripe-breasted-seedeater-crithagra-striatipectus,ok,Crithagra striatipectus,Stripe-breasted Seedeater,
Sterna nilotica,common-gull-billed-tern-gelochelidon-nilotica,ok,Gelochelidon nilotica,Common Gull-billed Tern,
Sterna nilotica,australian-gull-billed-tern-gelochelidon-macrotarsa,ok,Gelochelidon macrotarsa,Australian Gull-billed Tern,
Thraupis bonariensis,blue-and-yellow-tanager-pipraeidea-bonariensis,ok,Pipraeidea bonariensis,Blue-and-yellow Tanager,
Thraupis bonariensis,green-mantled-tanager-pipraeidea-darwinii,ok,Pipraeidea darwinii,Green-mantled Tanager,
Nectarinia tsavoensis,tsavo-sunbird-cinnyris-tsavoensis,ok,Cinnyris tsavoensis,Tsavo Sunbird,
Stigmatopelia chinensis,eastern-spotted-dove-spilopelia-chinensis,ok,Spilopelia chinensis,Eastern Spotted Dove,
Stigmatopelia chinensis,western-spotted-dove-spilopelia-suratensis,ok,Spilopelia suratensis,Western Spotted Dove,
Amaurospiza concolor,slate-blue-seedeater-amaurospiza-relicta,ok,Amaurospiza relicta,Slate-blue Seedeater,Amaurospiza carrizalensis
Aphelocoma californica,western-scrub-jay-aphelocoma-californica,ok,Aphelocoma californica,Western Scrub-jay,Aphelocoma insularis
Aphelocoma insularis,western-scrub-jay-aphelocoma-californica,ok,Aphelocoma californica,Western Scrub-jay,Aphelocoma californica
Catharacta antarctica,brown-skua-catharacta-antarctica,ok,Catharacta antarctica,Brown Skua,Catharacta lonnbergi
Catharacta lonnbergi,brown-skua-catharacta-antarctica,ok,Catharacta antarctica,Brown Skua,Catharacta antarctica
Corvus levaillantii,large-billed-crow-corvus-macrorhynchos,ok,Corvus macrorhynchos,Large-billed Crow,Corvus macrorhynchos
Corvus macrorhynchos,large-billed-crow-corvus-macrorhynchos,ok,Corvus macrorhynchos,Large-billed Crow,Corvus levaillantii
Cyanoramphus cookii,red-crowned-parakeet-cyanoramphus-novaezelandiae,ok,Cyanoramphus novaezelandiae,Red-crowned Parakeet,"Cyanoramphus saisseti, Cyanoramphus novaezelandiae"
Cyanoramphus novaezelandiae,red-crowned-parakeet-cyanoramphus-novaezelandiae,ok,Cyanoramphus novaezelandiae,Red-crowned Parakeet,"Cyanoramphus cookii, Cyanoramphus saisseti"
Dicaeum aeruginosum,thick-billed-flowerpecker-dicaeum-agile,ok,Dicaeum agile,Thick-billed Flowerpecker,Dicaeum agile
Dicaeum agile,thick-billed-flowerpecker-dicaeum-agile,ok,Dicaeum agile,Thick-billed Flowerpecker,Dicaeum aeruginosum
Lamprotornis chloropterus,lesser-blue-eared-starling-lamprotornis-chloropterus,ok,Lamprotornis chloropterus,Lesser Blue-eared Starling,Lamprotornis elisabeth
Lamprotornis elisabeth,lesser-blue-eared-starling-lamprotornis-chloropterus,ok,Lamprotornis chloropterus,Lesser Blue-eared Starling,Lamprotornis chloropterus
Lanius collaris,common-fiscal-lanius-collaris,ok,Lanius collaris,Common Fiscal,Lanius marwitzi
Lanius marwitzi,common-fiscal-lanius-collaris,ok,Lanius collaris,Common Fiscal,Lanius collaris
Lichmera indistincta,brown-honeyeater-lichmera-indistincta,ok,Lichmera indistincta,Brown Honeyeater,Lichmera limbata
Lichmera limbata,brown-honeyeater-lichmera-indistincta,ok,Lichmera indistincta,Brown Honeyeater,Lichmera indistincta
Parotia helenae,lawess-parotia-parotia-lawesii,ok,Parotia lawesii,Lawes's Parotia,Parotia lawesii
Parotia lawesii,lawess-parotia-parotia-lawesii,ok,Parotia lawesii,Lawes's Parotia,Parotia helenae
Penelopides affinis,mindanao-hornbill-penelopides-affinis,ok,Penelopides affinis,Mindanao Hornbill,Penelopides samarensis
Penelopides samarensis,mindanao-hornbill-penelopides-affinis,ok,Penelopides affinis,Mindanao Hornbill,Penelopides affinis
Philemon buceroides,helmeted-friarbird-philemon-buceroides,ok,Philemon buceroides,Helmeted Friarbird,Philemon novaeguineae
Philemon novaeguineae,helmeted-friarbird-philemon-buceroides,ok,Philemon buceroides,Helmeted Friarbird,Philemon buceroides
Stachyris ambigua,rufous-fronted-babbler-cyanoderma-rufifrons,ok,Cyanoderma rufifrons,Rufous-fronted Babbler,Stachyris rufifrons
Stachyris rufifrons,rufous-fronted-babbler-cyanoderma-rufifrons,ok,Cyanoderma rufifrons,Rufous-fronted Babbler,Stachyris ambigua
Sylvia althaea,lesser-whitethroat-sylvia-curruca,ok,Sylvia curruca,Lesser Whitethroat,"Sylvia minula, Sylvia curruca"
Sylvia curruca,lesser-whitethroat-sylvia-curruca,ok,Sylvia curruca,Lesser Whitethroat,"Sylvia althaea, Sylvia minula"
Sylvia minula,lesser-whitethroat-sylvia-curruca,ok,Sylvia curruca,Lesser Whitethroat,"Sylvia althaea, Sylvia curruca"
Zosterops rendovae,grey-throated-white-eye-zosterops-rendovae,ok,Zosterops rendovae,Grey-throated White-eye,
Zosterops rendovae,bougainville-white-eye-zosterops-hamlini,ok,Zosterops hamlini,Bougainville White-eye,
Camaroptera undosa,miombo-wren-warbler-calamonastes-undosus,ok,Calamonastes undosus,Miombo Wren-warbler,
Camaroptera undosa,stierlings-wren-warbler-calamonastes-stierlingi,ok,Calamonastes stierlingi,Stierling's Wren-warbler,
Philemon citreogularis,little-friarbird-philemon-citreogularis,ok,Philemon citreogularis,Little Friarbird,
Anas poecilorhyncha,NA,ok,Anas zonorhyncha,NA,
Anas poecilorhyncha,NA,ok,Anas poecilorhyncha,NA,
Buteo rufinus,NA,ok,Buteo rufinus,NA,
Buteo rufinus,NA,ok,Buteo socotraensis,NA,
Haliaeetus vociferoides,NA,ok,Haliaeetus vociferoides,NA,
Haliaeetus vocifer,NA,ok,Haliaeetus vocifer,NA,
Hypositta perdita,NA,ok,Oxylabes madagascariensis,NA,Oxylabes madagascariensis
Icterus dominicensis,NA,ok,Icterus dominicensis,NA,
Icterus dominicensis,NA,ok,Icterus northropi,NA,
Icterus dominicensis,NA,ok,Icterus melanopsis,NA,
Icterus dominicensis,NA,ok,Icterus portoricensis,NA,
Sporophila melanops,NA,problem,Sporophila melanops,NA,
Upucerthia dumetaria,NA,ok,Upucerthia dumetaria,NA,
Francolinus psilolaemus,NA,ok,Scleroptila psilolaema,NA,
Francolinus psilolaemus,NA,ok,Scleroptila elgonensis,NA,
Francolinus castaneicollis,NA,ok,Pternistis castaneicollis,NA,
Francolinus castaneicollis,NA,ok,Pternistis atrifrons,NA,
Indicator minor,NA,ok,Indicator minor,NA,Indicator conirostris
Indicator conirostris,NA,ok,Indicator minor,NA,Indicator minor
Mesopicos goertae,NA,ok,Dendropicos goertae,NA,
Mesopicos goertae,NA,ok,Dendropicos spodocephalus,NA,
Picoides dorsalis,NA,ok,Picoides funebris,NA,
Picus mentalis,NA,ok,Chrysophlegma mentale,NA,
Picus mentalis,NA,ok,Chrysophlegma humii,NA,
Megalaima franklinii,NA,ok,Psilopogon franklinii,NA,
Megalaima franklinii,NA,ok,Psilopogon auricularis,NA,
Megalaima asiatica,NA,ok,Psilopogon asiaticus,NA,
Megalaima asiatica,NA,ok,Psilopogon chersonesus,NA,
Megalaima australis,NA,ok,Psilopogon australis,NA,
Megalaima australis,NA,ok,Psilopogon cyanotis,NA,
Megalaima australis,NA,ok,Psilopogon duvaucelii,NA,
Megalaima rubricapillus,NA,ok,Psilopogon rubricapillus,NA,
Megalaima rubricapillus,NA,ok,Psilopogon malabaricus,NA,
Cuculus sparverioides,NA,ok,Hierococcyx sparverioides,NA,
Cuculus sparverioides,NA,ok,Hierococcyx bocki,NA,
Cuculus fugax,NA,ok,Hierococcyx fugax,NA,
Cuculus fugax,NA,ok,Hierococcyx nisicolor,NA,
Cuculus fugax,,ok,Hierococcyx hyperythrus,,
Cuculus fugax,NA,ok,Hierococcyx pectoralis,NA,
Collocalia terraereginae,NA,ok,Aerodramus terraereginae,NA,
Collocalia spodiopygia,NA,ok,Aerodramus spodiopygius,NA,
Collocalia brevirostris,NA,ok,Aerodramus brevirostris,NA,Collocalia rogersi
Collocalia rogersi,NA,ok,Aerodramus brevirostris,NA,Collocalia brevirostris
Collocalia palawanensis,NA,ok,Aerodramus vanikorensis,NA,"Collocalia vanikorensis, Collocalia amelis"
Collocalia amelis,NA,ok,Aerodramus vanikorensis,NA,"Collocalia vanikorensis, Collocalia palawanensis"
Collocalia vanikorensis,NA,ok,Aerodramus vanikorensis,NA,"Collocalia amelis, Collocalia palawanensis"
Strix davidi,NA,ok,Strix uralensis,NA,Strix uralensis
Caprimulgus parvulus,NA,ok,Setopagis parvula,NA,
Ptilinopus fischeri,NA,ok,Ramphiculus meridionalis,NA,
Ptilinopus fischeri,NA,ok,Ramphiculus fischeri,NA,
Nesoclopeus woodfordi,NA,ok,Hypotaenidia woodfordi,NA,
Nesoclopeus woodfordi,NA,ok,Hypotaenidia tertia,NA,
Nesoclopeus woodfordi,NA,ok,Hypotaenidia immaculata,NA,
Accipiter striatus,NA,ok,Accipiter striatus,NA,"Accipiter chionogaster, Accipiter striatus, Accipiter ventralis, Accipiter erythronemius"
Accipiter chionogaster,NA,ok,Accipiter striatus,NA,"Accipiter chionogaster, Accipiter ventralis, Accipiter erythronemius"
Accipiter ventralis,NA,ok,Accipiter striatus,NA,"Accipiter chionogaster, Accipiter striatus, Accipiter erythronemius"
Accipiter erythronemius,NA,ok,Accipiter striatus,NA,"Accipiter chionogaster, Accipiter striatus, Accipiter ventralis"
Buteo augur,NA,ok,Buteo augur,NA,Buteo archeri
Buteo archeri,NA,ok,Buteo augur,NA,Buteo augur
Myrmotherula axillaris,NA,ok,Myrmotherula axillaris,NA,Myrmotherula fluminensis
Myrmotherula fluminensis,NA,ok,Myrmotherula axillaris,NA,Myrmotherula axillaris
Malurus grayi,NA,ok,Chenorhamphus grayi,NA,Malurus campbelli
Malurus campbelli,NA,ok,Chenorhamphus grayi,NA,Malurus grayi
Sericornis nouhuysi,NA,ok,Sericornis nouhuysi,NA,Sericornis virgatus
Sericornis virgatus,NA,ok,Sericornis nouhuysi,NA,Sericornis nouhuysi
Terpsiphone smithii,NA,ok,Terpsiphone rufiventer,NA,Terpsiphone rufiventer
Arses telescophthalmus,NA,ok,Arses telescopthalmus,NA,
Arses telescophthalmus,NA,ok,Arses lorealis,NA,
Copsychus malabaricus,NA,ok,Kittacincla malabarica,NA,
Copsychus stricklandii,NA,ok,Kittacincla albiventris,NA,
Parus teneriffae,NA,ok,Cyanistes teneriffae,NA,
Hirundo daurica,NA,ok,Cecropis daurica,NA,
Hirundo striolata,NA,ok,Cecropis hyperythra,NA,
Arachnothera everetti,NA,problem,Arachnothera affinis,NA,Arachnothera affinis
Corvus minutus,NA,ok,Corvus palmarum,NA,
Dendroica aestiva,NA,ok,Setophaga petechia,NA,Dendroica petechia
Apus toulsoni,NA,ok,Apus horus,NA,Apus horus
Apus horus,NA,ok,Apus horus,NA,Apus toulsoni
Casuarius bennetti,NA,ok,Casuarius bennetti,NA,
Casuarius unappendiculatus,NA,ok,Casuarius unappendiculatus,NA,
Apteryx owenii,NA,ok,Apteryx owenii,NA,
Tinamus osgoodi,NA,ok,Tinamus osgoodi,NA,
Nothocercus nigrocapillus,NA,ok,Nothocercus nigrocapillus,NA,
Crypturellus ptaritepui,NA,ok,Crypturellus ptaritepui,NA,
Crypturellus kerriae,NA,ok,Crypturellus kerriae,NA,
Crypturellus duidae,NA,ok,Crypturellus duidae,NA,
Crypturellus brevirostris,NA,ok,Crypturellus brevirostris,NA,
Crypturellus casiquiare,NA,ok,Crypturellus casiquiare,NA,
Nothura chacoensis,NA,ok,Nothura chacoensis,NA,
Eudromia formosa,NA,ok,Eudromia formosa,NA,
Tinamotis ingoufi,NA,ok,Tinamotis ingoufi,NA,
Ortalis wagleri,NA,ok,Ortalis wagleri,NA,
Penelope dabbenei,NA,ok,Penelope dabbenei,NA,
Penelope perspicax,NA,ok,Penelope perspicax,NA,
Penelope albipennis,NA,ok,Penelope albipennis,NA,
Pipile pipile,NA,ok,Pipile pipile,NA,
Mitu salvini,NA,ok,Mitu salvini,NA,
Pauxi pauxi,NA,ok,Pauxi pauxi,NA,
Crax alberti,NA,ok,Crax alberti,NA,
Crax globulosa,NA,ok,Crax globulosa,NA,
Aepypodius bruijnii,NA,ok,Aepypodius bruijnii,NA,
Talegalla fuscirostris,NA,ok,Talegalla fuscirostris,NA,
Talegalla jobiensis,NA,ok,Talegalla jobiensis,NA,
Megapodius nicobariensis,NA,ok,Megapodius nicobariensis,NA,
Megapodius cumingii,NA,ok,Megapodius cumingii,NA,
Megapodius bernsteinii,NA,ok,Megapodius bernsteinii,NA,
Megapodius reinwardt,NA,ok,Megapodius reinwardt,NA,
Megapodius eremita,NA,ok,Megapodius eremita,NA,
Megapodius layardi,NA,ok,Megapodius layardi,NA,
Megapodius laperouse,NA,ok,Megapodius laperouse,NA,
Megapodius pritchardii,NA,ok,Megapodius pritchardii,NA,
Ammoperdix heyi,NA,ok,Ammoperdix heyi,NA,
Tetraogallus caucasicus,NA,ok,Tetraogallus caucasicus,NA,
Tetraogallus tibetanus,NA,ok,Tetraogallus tibetanus,NA,
Tetraogallus altaicus,NA,ok,Tetraogallus altaicus,NA,
Tetraophasis obscurus,NA,ok,Tetraophasis obscurus,NA,
Alectoris barbara,NA,ok,Alectoris barbara,NA,
Alectoris melanocephala,NA,ok,Alectoris melanocephala,NA,
Alectoris philbyi,NA,ok,Alectoris philbyi,NA,
Alectoris magna,NA,ok,Alectoris magna,NA,
Alectoris graeca,NA,ok,Alectoris graeca,NA,
Alectoris rufa,NA,ok,Alectoris rufa,NA,
Francolinus pictus,NA,ok,Francolinus pictus,NA,
Francolinus pintadeanus,NA,ok,Francolinus pintadeanus,NA,
Francolinus pondicerianus,NA,ok,Francolinus pondicerianus,NA,
Francolinus gularis,NA,ok,Francolinus gularis,NA,
Perdix dauurica,NA,ok,Perdix dauurica,NA,
Perdix hodgsoniae,NA,ok,Perdix hodgsoniae,NA,
Coturnix japonica,NA,ok,Coturnix japonica,NA,
Coturnix pectoralis,NA,ok,Coturnix pectoralis,NA,
Coturnix coromandelica,NA,ok,Coturnix coromandelica,NA,
Coturnix delegorguei,NA,ok,Coturnix delegorguei,NA,
Perdicula argoondah,NA,ok,Perdicula argoondah,NA,
Perdicula erythrorhyncha,NA,ok,Perdicula erythrorhyncha,NA,
Perdicula manipurensis,NA,ok,Perdicula manipurensis,NA,
Xenoperdix udzungwensis,NA,ok,Xenoperdix udzungwensis,NA,
Arborophila torqueola,NA,ok,Arborophila torqueola,NA,
Arborophila rufogularis,NA,ok,Arborophila rufogularis,NA,
Arborophila atrogularis,NA,ok,Arborophila atrogularis,NA,
Arborophila crudigularis,NA,ok,Arborophila crudigularis,NA,
Arborophila brunneopectus,NA,ok,Arborophila brunneopectus,NA,
Arborophila rufipectus,NA,ok,Arborophila rufipectus,NA,
Arborophila orientalis,NA,ok,Arborophila orientalis,NA,
Arborophila javanica,NA,ok,Arborophila javanica,NA,
Arborophila hyperythra,NA,ok,Arborophila hyperythra,NA,
Arborophila gingica,NA,ok,Arborophila gingica,NA,
Arborophila davidi,NA,ok,Arborophila davidi,NA,
Arborophila cambodiana,NA,ok,Arborophila cambodiana,NA,
Arborophila rubrirostris,NA,ok,Arborophila rubrirostris,NA,
Arborophila ardens,NA,ok,Arborophila ardens,NA,
Arborophila chloropus,NA,ok,Arborophila chloropus,NA,
Galloperdix lunulata,NA,ok,Galloperdix lunulata,NA,
Galloperdix bicalcarata,NA,ok,Galloperdix bicalcarata,NA,
Tragopan blythii,NA,ok,Tragopan blythii,NA,
Tragopan temminckii,NA,ok,Tragopan temminckii,NA,
Tragopan caboti,NA,ok,Tragopan caboti,NA,
Lophophorus sclateri,NA,ok,Lophophorus sclateri,NA,
Lophophorus lhuysii,NA,ok,Lophophorus lhuysii,NA,
Gallus sonneratii,NA,ok,Gallus sonneratii,NA,
Gallus varius,NA,ok,Gallus varius,NA,
Lophura swinhoii,NA,ok,Lophura swinhoii,NA,
Lophura diardi,NA,ok,Lophura diardi,NA,
Lophura bulweri,NA,ok,Lophura bulweri,NA,
Crossoptilon crossoptilon,NA,ok,Crossoptilon crossoptilon,NA,
