matching.btree_spp,link_sp_name,cz,BL_latin,c_name,sister_split
Margarops fuscatus,pearly-eyed-thrasher-margarops-fuscatus,ok,Margarops fuscatus,Pearly-eyed Thrasher,
Margarops fuscus,scaly-breasted-thrasher-allenia-fusca,ok,Allenia fusca,Scaly-breasted Thrasher,
Margarornis rubiginosus,ruddy-treerunner-margarornis-rubiginosus,ok,Margarornis rubiginosus,Ruddy Treerunner,
Marmaronetta angustirostris,marbled-teal-marmaronetta-angustirostris,ok,Marmaronetta angustirostris,Marbled Teal,
Masius chrysopterus,golden-winged-manakin-masius-chrysopterus,ok,Masius chrysopterus,Golden-winged Manakin,
Mayrornis lessoni,slaty-monarch-mayrornis-lessoni,ok,Mayrornis lessoni,Slaty Monarch,
Mearnsia novaeguineae,papuan-spinetail-mearnsia-novaeguineae,ok,Mearnsia novaeguineae,Papuan Spinetail,
Mecocerculus leucophrys,white-throated-tyrannulet-mecocerculus-leucophrys,ok,Mecocerculus leucophrys,White-throated Tyrannulet,
Megabyas flammulatus,african-shrike-flycatcher-megabyas-flammulatus,ok,Megabyas flammulatus,African Shrike-flycatcher,
Megaceryle alcyon,belted-kingfisher-megaceryle-alcyon,ok,Megaceryle alcyon,Belted Kingfisher,
Megaceryle lugubris,crested-kingfisher-megaceryle-lugubris,ok,Megaceryle lugubris,Crested Kingfisher,
Megaceryle maxima,giant-kingfisher-megaceryle-maxima,ok,Megaceryle maxima,Giant Kingfisher,
Megaceryle torquata,ringed-kingfisher-megaceryle-torquata,ok,Megaceryle torquata,Ringed Kingfisher,
Megacrex inepta,new-guinea-flightless-rail-megacrex-inepta,ok,Megacrex inepta,New Guinea Flightless Rail,
Megadyptes antipodes,yellow-eyed-penguin-megadyptes-antipodes,ok,Megadyptes antipodes,Yellow-eyed Penguin,
Megalaima haemacephala,coppersmith-barbet-psilopogon-haemacephalus,ok,Psilopogon haemacephalus,Coppersmith Barbet,
Megalurulus mariei,new-caledonian-thicketbird-megalurulus-mariae,ok,Megalurulus mariae,New Caledonian Thicketbird,
Megalurulus rubiginosus,rusty-thicketbird-megalurulus-rubiginosus,ok,Megalurulus rubiginosus,Rusty Thicketbird,
Megalurus gramineus,little-grassbird-poodytes-gramineus,ok,Poodytes gramineus,Little Grassbird,
Megalurus palustris,striated-grassbird-megalurus-palustris,ok,Megalurus palustris,Striated Grassbird,
Megapodius freycinet,dusky-scrubfowl-megapodius-freycinet,ok,Megapodius freycinet,Dusky Scrubfowl,
Megarynchus pitangua,boat-billed-flycatcher-megarynchus-pitangua,ok,Megarynchus pitangua,Boat-billed Flycatcher,
